id,stock_id,stock_name,stock_short,stock_open,stock_close,stock_high,stock_low,stock_volume,update_time
1,4,Microsoft,MSFT,41.15,41.42,41.59,41.07,32605000,"2014-05-01 07:24:00.187135"
2,4,Microsoft,MSFT,41.44,41.35,41.66,41.17,28666700,"2014-04-30 07:24:00.342924"
3,4,Microsoft,MSFT,41.29,41.01,41.29,40.71,30139600,"2014-04-29 07:24:00.498814"
4,4,Microsoft,MSFT,41.25,39.87,41.39,39.64,51409600,"2014-04-28 07:24:00.655283"
5,4,Microsoft,MSFT,39.96,39.8,40.27,39.74,37559600,"2014-04-27 07:24:00.811341"
6,4,Microsoft,MSFT,39.75,39.82,39.93,39.2,35918600,"2014-04-26 07:24:00.967737"
7,4,Microsoft,MSFT,39.93,40.47,40.55,39.88,27398700,"2014-04-25 07:24:01.123764"
8,4,Microsoft,MSFT,40.44,39.36,40.69,39.09,45960800,"2014-04-24 07:24:01.280151"
9,4,Microsoft,MSFT,39.0,39.21,39.79,39.0,34330200,"2014-04-23 07:24:01.437384"
10,4,Microsoft,MSFT,39.11,39.18,39.41,38.9,32006600,"2014-04-22 07:24:01.593685"
11,4,Microsoft,MSFT,39.34,39.75,39.96,39.05,33968700,"2014-04-21 07:24:01.749825"
12,4,Microsoft,MSFT,40.06,40.4,40.42,39.91,30615800,"2014-04-20 07:24:01.884136"
13,4,Microsoft,MSFT,40.01,40.01,40.2,39.51,36688400,"2014-04-19 07:24:02.039915"
14,4,Microsoft,MSFT,40.13,39.94,40.15,39.79,22221200,"2014-04-18 07:24:02.219058"
15,4,Microsoft,MSFT,39.96,39.99,40.14,39.83,27056700,"2014-04-17 07:24:02.375161"
16,4,Microsoft,MSFT,39.99,39.69,39.99,39.47,24585300,"2014-04-16 07:24:02.531447"
17,4,Microsoft,MSFT,39.74,39.86,39.97,39.3,42132600,"2014-04-15 07:24:02.754000"
18,4,Microsoft,MSFT,40.29,39.91,40.68,39.75,56876800,"2014-04-14 07:24:02.944377"
19,4,Microsoft,MSFT,40.14,40.87,41.29,40.09,50603200,"2014-04-13 07:24:03.102589"
20,4,Microsoft,MSFT,41.1,40.51,41.19,40.39,29636200,"2014-04-12 07:24:03.256701"
21,4,Microsoft,MSFT,40.4,40.4,40.5,40.17,35458700,"2014-04-11 07:24:03.490697"
22,1,GOOGLE,GOOG,558.71,567.16,568.45,558.71,7900,"2014-05-01 07:24:04.703552"
23,1,GOOGLE,GOOG,599.99,567.0,604.83,562.19,146700,"2014-04-30 07:24:04.893456"
24,1,GOOGLE,GOOG,569.85,569.74,587.28,564.13,5085200,"2014-04-29 07:24:05.082847"
25,1,GOOGLE,GOOG,574.65,543.14,577.77,543.0,6351900,"2014-04-28 07:24:05.216835"
26,1,GOOGLE,GOOG,540.74,538.15,548.48,527.15,4389600,"2014-04-27 07:24:05.372908"
27,1,GOOGLE,GOOG,542.6,554.9,555.0,541.61,3142600,"2014-04-26 07:24:05.529059"
28,1,GOOGLE,GOOG,559.62,564.14,565.37,552.95,3321700,"2014-04-25 07:24:05.685056"
29,1,GOOGLE,GOOG,565.0,540.95,565.0,539.9,4025800,"2014-04-24 07:24:05.841356"
30,1,GOOGLE,GOOG,532.55,530.6,540.0,526.53,3914100,"2014-04-23 07:24:05.997761"
31,1,GOOGLE,GOOG,538.25,532.52,544.1,529.56,2568000,"2014-04-22 07:24:06.153817"
32,1,GOOGLE,GOOG,536.82,536.44,538.45,518.46,3844500,"2014-04-21 07:24:06.310996"
